,Lesezeichen,Arbeitsvorgang,AVO-Kurztext,AVO-Langtext,Vorgänge,Teile pro Vorgang,VD-Wert,VD-Kurztext,label,Lfd.Nr.,Beschreibung,Langcode,Kurzcode,tg,A,H,T,n (Wert),tg*n
0,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000AA:8WK,8WK: 25000AA,Bremsabschirmblech-links 4x heften,"- Bremsabschirmblech-links aus Zwischenablage aufnehmen und auf Schwenklager platzieren - Schraube von Behälter aufnehmen (Handvoll) - 4x Schraube N.107.414.02 aufnehmen und auf Klinge - 1x Akkuschrauber mit entsprechender Schraube an Schwenklager platzieren und ""anheften"" - Blech ausrichten und 3x weitere Schrauben heften   31.08.23 Neue PZW eingetragen. Köhler   ",1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,1,Bremsabschirmblech-Rechts aus Zwischablage aufnehmen und auf Schwenklager pltzieren,3000AB1....5,AB1,0.033,1.0,1.0,1,1.0,0.033
1,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000AA:8WK,8WK: 25000AA,Bremsabschirmblech-links 4x heften,"- Bremsabschirmblech-links aus Zwischenablage aufnehmen und auf Schwenklager platzieren - Schraube von Behälter aufnehmen (Handvoll) - 4x Schraube N.107.414.02 aufnehmen und auf Klinge - 1x Akkuschrauber mit entsprechender Schraube an Schwenklager platzieren und ""anheften"" - Blech ausrichten und 3x weitere Schrauben heften   31.08.23 Neue PZW eingetragen. Köhler   ",1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,2,Handvoll Schrauben aufnehmen und Rest abwerfen,M-NMC.1,M-NMC.1,0.051,1.0,1.0,1,1.0,0.051
2,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000AA:8WK,8WK: 25000AA,Bremsabschirmblech-links 4x heften,"- Bremsabschirmblech-links aus Zwischenablage aufnehmen und auf Schwenklager platzieren - Schraube von Behälter aufnehmen (Handvoll) - 4x Schraube N.107.414.02 aufnehmen und auf Klinge - 1x Akkuschrauber mit entsprechender Schraube an Schwenklager platzieren und ""anheften"" - Blech ausrichten und 3x weitere Schrauben heften   31.08.23 Neue PZW eingetragen. Köhler   ",1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,3,Blech ausrichten,3000HB3....5,HB3,0.012,1.0,1.0,1,1.0,0.012
3,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000AA:8WK,8WK: 25000AA,Bremsabschirmblech-links 4x heften,"- Bremsabschirmblech-links aus Zwischenablage aufnehmen und auf Schwenklager platzieren - Schraube von Behälter aufnehmen (Handvoll) - 4x Schraube N.107.414.02 aufnehmen und auf Klinge - 1x Akkuschrauber mit entsprechender Schraube an Schwenklager platzieren und ""anheften"" - Blech ausrichten und 3x weitere Schrauben heften   31.08.23 Neue PZW eingetragen. Köhler   ",1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,4,Schrauber aufnehmen und ablegen.,M-MAG.1,M-MAG.1,0.024,1.0,1.0,1,1.0,0.024
4,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000AA:8WK,8WK: 25000AA,Bremsabschirmblech-links 4x heften,"- Bremsabschirmblech-links aus Zwischenablage aufnehmen und auf Schwenklager platzieren - Schraube von Behälter aufnehmen (Handvoll) - 4x Schraube N.107.414.02 aufnehmen und auf Klinge - 1x Akkuschrauber mit entsprechender Schraube an Schwenklager platzieren und ""anheften"" - Blech ausrichten und 3x weitere Schrauben heften   31.08.23 Neue PZW eingetragen. Köhler   ",1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,5,4x BAB mit Akkuschrauber heften,M-SMJ.1,,0.0616668,4.0,1.0,1,4.0,0.2466672
5,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000C:8WK,8WK: 25000C,Bremsabschirmblech-Rechts 4x heften,"- Bremsabschirmblech-Rechts aus Zwischenablage aufnehmen und auf Schwenklager platzieren - Schraube von Behälter aufnehmen (Handvoll) - 4x Schraube N.107.414.02 aufnehmen und auf Klinge setzen - 1x Akkuschrauber mit entsprechender Schraube an Schwenklager platzieren und ""anheften"" - Blech ausrichten und 3x weitere Schrauben heften  31.08.23 Neue PZW eingetragen. Köhler    ",1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,1,Bremsabschirmblech-Rechts aus Zwischablage aufnehmen und auf Schwenklager pltzieren,LO-WM,LO-WM,0.033,1.0,1.0,1,1.0,0.033
6,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000C:8WK,8WK: 25000C,Bremsabschirmblech-Rechts 4x heften,"- Bremsabschirmblech-Rechts aus Zwischenablage aufnehmen und auf Schwenklager platzieren - Schraube von Behälter aufnehmen (Handvoll) - 4x Schraube N.107.414.02 aufnehmen und auf Klinge setzen - 1x Akkuschrauber mit entsprechender Schraube an Schwenklager platzieren und ""anheften"" - Blech ausrichten und 3x weitere Schrauben heften  31.08.23 Neue PZW eingetragen. Köhler    ",1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,2,Handvoll Schrauben aufnehmen und Rest abwerfen,M-KBB,M-KBB,0.051,1.0,1.0,1,1.0,0.051
7,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000C:8WK,8WK: 25000C,Bremsabschirmblech-Rechts 4x heften,"- Bremsabschirmblech-Rechts aus Zwischenablage aufnehmen und auf Schwenklager platzieren - Schraube von Behälter aufnehmen (Handvoll) - 4x Schraube N.107.414.02 aufnehmen und auf Klinge setzen - 1x Akkuschrauber mit entsprechender Schraube an Schwenklager platzieren und ""anheften"" - Blech ausrichten und 3x weitere Schrauben heften  31.08.23 Neue PZW eingetragen. Köhler    ",1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,3,Blech ausrichten,LO-WA,LO-WA,0.012,1.0,1.0,1,1.0,0.012
8,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000C:8WK,8WK: 25000C,Bremsabschirmblech-Rechts 4x heften,"- Bremsabschirmblech-Rechts aus Zwischenablage aufnehmen und auf Schwenklager platzieren - Schraube von Behälter aufnehmen (Handvoll) - 4x Schraube N.107.414.02 aufnehmen und auf Klinge setzen - 1x Akkuschrauber mit entsprechender Schraube an Schwenklager platzieren und ""anheften"" - Blech ausrichten und 3x weitere Schrauben heften  31.08.23 Neue PZW eingetragen. Köhler    ",1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,4,Schrauber aufnehmen und ablegen.,3000AA3....5,AA3,0.024,1.0,1.0,1,1.0,0.024
9,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000C:8WK,8WK: 25000C,Bremsabschirmblech-Rechts 4x heften,"- Bremsabschirmblech-Rechts aus Zwischenablage aufnehmen und auf Schwenklager platzieren - Schraube von Behälter aufnehmen (Handvoll) - 4x Schraube N.107.414.02 aufnehmen und auf Klinge setzen - 1x Akkuschrauber mit entsprechender Schraube an Schwenklager platzieren und ""anheften"" - Blech ausrichten und 3x weitere Schrauben heften  31.08.23 Neue PZW eingetragen. Köhler    ",1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,5,4x BAB mit Akkuschrauber heften,M-SMJ.1,,0.0616668,4.0,1.0,1,4.0,0.2466672
10,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000D:8WK,8WK: 25000D,Bremsabschirmblech rechts aufnehmen und bereitlegen,- Bremsabschirmblech rechts 8B3.615.312 aufnehmen  - Bremsabschirmblech auf zwischenablage ablegen   ,1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,1,aufnehmen und platzieren,M-EVB.2,M-EVB.2,0.033,1.0,1.0,1,1.0,0.033
11,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000A:8WK,8WK: 25000A,Bremsabschirmblech links aufnehmen und bereitlegen,- Bremsabschirmblech links 8B3.615.311 aufnehmen  - Bremsabschirmblech auf zwischenablage ablegen ,1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,1,aufnehmen Bremsabschirmblech auf zwischenablage ablegen,M-AEZLLS.1,M-AEZLLS.1,0.033,1.0,1.0,1,1.0,0.033
12,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000AH:8WK,8WK: 25000AH,LW 6m Bremsabschirmblech aufnehmen und bereitlegen,- 2m von Abgabeplatz zum BAB Regal gehen - 2m von BAB Regal zu Auflegeplatz gehen  - 2m von Auflegeplatz zu Abgabeplatz gehen,1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,1,2m von Abgabeplatz zum BAB Regal gehen,3000AL2....5,AL2,0.015,2.0,1.0,1,2.0,0.03
13,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000AH:8WK,8WK: 25000AH,LW 6m Bremsabschirmblech aufnehmen und bereitlegen,- 2m von Abgabeplatz zum BAB Regal gehen - 2m von BAB Regal zu Auflegeplatz gehen  - 2m von Auflegeplatz zu Abgabeplatz gehen,1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,2,2m von BAB Regal zu Auflegeplatz gehen,M-AEZELL.2,M-AEZELL.2,0.015,2.0,1.0,1,2.0,0.03
14,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000AH:8WK,8WK: 25000AH,LW 6m Bremsabschirmblech aufnehmen und bereitlegen,- 2m von Abgabeplatz zum BAB Regal gehen - 2m von BAB Regal zu Auflegeplatz gehen  - 2m von Auflegeplatz zu Abgabeplatz gehen,1.0,1.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,3,2m von Auflegeplatz zu Abgabeplatz gehen,LO-SQD,LO-SQD,0.015,2.0,1.0,1,2.0,0.03
15,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D02/2403KV/4PZ25000/25000B:8WK,8WK: 25000B,Laufweg Abschirmbleche komissionieren,Anteilig 15: - 5m gehen zu Regal Abschirmbleche - 11m mit Abschirmblech kommissionieren - 16m zurück in Arbeitsbereich   01.03.24 AVO angepasst. Köhler,1.0,15.0,4PZ25000,Bremsabschirmblech an Schwenklager,3.0,1,5m gehen zu Regal Abschirmblech,M-MRD,M-MRD,0.015,5.0,1.0,1,5.0,0.075
