AVO-Kurztext,AVO-Langtext,VD-Kurztext,Beschreibung,Kurzcode,label
Kardanwelle-hinten 3x verschrauben mit Scanner,- Kardanwelle hinten aus Zwischenablage aufnehmen - 3x verschrauben an Position - Scanner verwenden - Qualitätskontrolle durchführen,Einbau Kardanwelle,3x verschrauben von Kardanwelle hinten,PT.SEC,0
Schraube-rechts 6x platzieren mit Akkuschrauber,- Schraube rechts aus Zwischenablage aufnehmen - 6x platzieren an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Schraube an Spurstange,Schraube rechts platzieren und positionieren,SEC,0
Bremssattel-unten 6x aufnehmen mit Akkuschrauber,- Bremssattel unten aus Zwischenablage aufnehmen - 6x aufnehmen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Bremssattel an Dämpferstelze,Abschluss aufnehmen von Bremssattel unten,SEC,3
Kardanwelle-vorne scannen mit Zange,- Kardanwelle vorne aus Zwischenablage aufnehmen - scannen an Position - Zange verwenden - Qualitätskontrolle durchführen,Montage Kardanwelle,Abschluss scannen von Kardanwelle vorne,SEC,2
Kabelbinder-unten 6x heften mit HG,- Kabelbinder unten aus Zwischenablage aufnehmen - 6x heften an Position - HG verwenden - Qualitätskontrolle durchführen,Montage Kabelbinder,Abschluss heften von Kabelbinder unten,LO-XAL,3
Bremssattel-vorne 3x montieren mit Scanner,- Bremssattel vorne aus Zwischenablage aufnehmen - 3x montieren an Position - Scanner verwenden - Qualitätskontrolle durchführen,Einbau Bremssattel,3x montieren von Bremssattel vorne,LO-WXE,0
Schraube-vorne aufnehmen mit EC-Schrauber,- Schraube vorne aus Zwischenablage aufnehmen - aufnehmen an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Einbau Schraube,aufnehmen von Schraube vorne,M-WNG.1,5
Kabelbinder-vorne holen mit Zange,- Kabelbinder vorne aus Zwischenablage aufnehmen - holen an Position - Zange verwenden - Qualitätskontrolle durchführen,Montage Kabelbinder,Abschluss holen von Kabelbinder vorne,M-DMG.1,0
Bremsabschirmblech-unten 4x scannen mit Zange,- Bremsabschirmblech unten aus Zwischenablage aufnehmen - 4x scannen an Position - Zange verwenden - Qualitätskontrolle durchführen,Bremsabschirmblech an Spurstange,Vorbereitung für scannen von Bremsabschirmblech,3000ZW4....1,2
Bremssattel-links 6x scannen mit Akkuschrauber,- Bremssattel links aus Zwischenablage aufnehmen - 6x scannen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Bremssattel an Dämpferstelze,Abschluss scannen von Bremssattel links,M-TQQ.2,0
Kabelbinder-links 3x montieren mit Akkuschrauber,- Kabelbinder links aus Zwischenablage aufnehmen - 3x montieren an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Kabelbinder an Spurstange,Abschluss montieren von Kabelbinder links,SEC,3
Bremssattel-links 6x holen mit Zange,- Bremssattel links aus Zwischenablage aufnehmen - 6x holen an Position - Zange verwenden - Qualitätskontrolle durchführen,Bremssattel an Spurstange,6x holen von Bremssattel links,LO-DSZ,0
Bremsdruckleitung-hinten montieren mit HG,- Bremsdruckleitung hinten aus Zwischenablage aufnehmen - montieren an Position - HG verwenden - Qualitätskontrolle durchführen,Einbau Bremsdruckleitung,Abschluss montieren von Bremsdruckleitung hinten,SEC,1
Bremsabschirmblech-oben 6x platzieren mit Scanner,- Bremsabschirmblech oben aus Zwischenablage aufnehmen - 6x platzieren an Position - Scanner verwenden - Qualitätskontrolle durchführen,Einbau Bremsabschirmblech,Bremsabschirmblech oben platzieren und positionieren,LO-AXT,0
Bremsdruckleitung-oben aufnehmen mit EC-Schrauber,- Bremsdruckleitung oben aus Zwischenablage aufnehmen - aufnehmen an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Bremsdruckleitung an Schwenklager,aufnehmen von Bremsdruckleitung oben,PT.SEC,1
Kardanwelle-vorne montieren mit Zange,- Kardanwelle vorne aus Zwischenablage aufnehmen - montieren an Position - Zange verwenden - Qualitätskontrolle durchführen,Einbau Kardanwelle,montieren von Kardanwelle vorne,PT.SEC,4
Bremssattel-hinten aufnehmen mit Akkuschrauber,- Bremssattel hinten aus Zwischenablage aufnehmen - aufnehmen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Bremssattel an Schwenklager,aufnehmen von Bremssattel hinten,LO-QNU,4
Kabelbinder-unten holen mit EC-Schrauber,- Kabelbinder unten aus Zwischenablage aufnehmen - holen an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Kabelbinder an Schwenklager,holen von Kabelbinder unten,3000VZ3....2,0
Bremsabschirmblech-vorne 6x scannen mit HG,- Bremsabschirmblech vorne aus Zwischenablage aufnehmen - 6x scannen an Position - HG verwenden - Qualitätskontrolle durchführen,Bremsabschirmblech an Dämpferstelze,Vorbereitung für scannen von Bremsabschirmblech,SEC,2
Luftleitelement-rechts 3x holen mit Akkuschrauber,- Luftleitelement rechts aus Zwischenablage aufnehmen - 3x holen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Einbau Luftleitelement,3x holen von Luftleitelement rechts,3000VZ2....1,2
Bremsdruckleitung-unten 4x holen,- Bremsdruckleitung unten aus Zwischenablage aufnehmen - 4x holen an Position - Qualitätskontrolle durchführen,Montage Bremsdruckleitung,Abschluss holen von Bremsdruckleitung unten,M-RJS.1,2
Kabelbinder-oben holen mit Zange,- Kabelbinder oben aus Zwischenablage aufnehmen - holen an Position - Zange verwenden - Qualitätskontrolle durchführen,Kabelbinder an Schwenklager,holen von Kabelbinder oben,PT.SEC,0
Bremsdruckleitung-rechts 6x aufnehmen,- Bremsdruckleitung rechts aus Zwischenablage aufnehmen - 6x aufnehmen an Position - Qualitätskontrolle durchführen,Bremsdruckleitung an Schwenklager,6x aufnehmen von Bremsdruckleitung rechts,SEC,3
Schraube-unten 2x holen mit HG,- Schraube unten aus Zwischenablage aufnehmen - 2x holen an Position - HG verwenden - Qualitätskontrolle durchführen,Schraube an Schwenklager,Abschluss holen von Schraube unten,M-SZA.2,2
Bremssattel-hinten 2x platzieren mit EC-Schrauber,- Bremssattel hinten aus Zwischenablage aufnehmen - 2x platzieren an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Bremssattel an Schwenklager,Bremssattel hinten platzieren und positionieren,PT.SEC,1
Kardanwelle-oben 6x heften mit EC-Schrauber,- Kardanwelle oben aus Zwischenablage aufnehmen - 6x heften an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Einbau Kardanwelle,Vorbereitung für heften von Kardanwelle,M-JZB.1,0
Kabelbinder-vorne 4x verschrauben mit Akkuschrauber,- Kabelbinder vorne aus Zwischenablage aufnehmen - 4x verschrauben an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Kabelbinder an Schwenklager,Kabelbinder vorne verschrauben und positionieren,3000DJ5....1,3
Schraube-unten platzieren mit Scanner,- Schraube unten aus Zwischenablage aufnehmen - platzieren an Position - Scanner verwenden - Qualitätskontrolle durchführen,Schraube an Schwenklager,Vorbereitung für platzieren von Schraube,SEC,0
